Lemma,Rank,SFI,U
when,57,74.52,2832.66
thing,55,73.99,2508.68
see,54,74.19,2625.08
mean,52,73.38,2178.91
out,53,74.75,2983.09
up,51,74.59,2876.07
can,49,74.82,3030.91
no,50,73.70,2345.09
right,48,74.19,2627.03
because,47,74.65,2915.47
would,45,75.03,3185.90
then,46,73.55,2265.59
as,44,76.96,4966.00
or,43,75.90,3887.10
about,42,76.84,4829.99
all,41,75.76,3770.24
at,40,76.98,4993.73
if,39,75.92,3904.41
with,38,77.82,6052.93
one,37,76.02,4001.88
well,36,75.85,3847.50
just,35,76.06,4037.55
what,34,76.88,4873.06
she,33,76.28,4243.70
say,32,77.80,6023.85
will,31,77.06,5081.15
there,30,77.19,5234.66
like,29,76.22,4190.62
think,28,77.47,5590.98
for,27,79.28,8469.82
unclear,26,70.88,1224.37
I,25,77.43,5527.54
pause,24,71.07,1278.01
on,23,78.93,7812.92
this,21,79.55,9015.97
but,22,78.41,6930.22
so,20,77.86,6112.59
go,19,78.16,6548.15
get,18,77.67,5853.25
know,17,78.25,6683.00
he,16,80.31,10738.30
in,15,82.59,18173.65
we,14,81.48,14058.04
they,13,81.39,13785.39
that,12,81.80,15146.00
not,11,81.37,13700.98
do,10,81.30,13493.91
of,9,83.79,23918.35
have,8,82.58,18117.94
a,7,84.24,26519.71
to,6,84.52,28336.61
it,5,83.10,20435.84
and,4,84.92,31027.07
you,3,83.68,23349.51
